claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric judges showed higher reported inter-judge agreement than generic-rubric judges.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supports testing skill-grounded scoring for reliability, but not attributing the difference to skill grounding alone."
"Generic-rubric judges had lower reported inter-judge agreement.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Provides the comparison arm for the reported agreement advantage while limiting causal interpretation."
"Expert-rubric judge variance was lower in the reported comparison.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supports a reliability hypothesis, not an adoption decision."
"Generic-rubric judge variance was higher in the reported comparison.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Provides disconfirming context for generic scoring while underscoring that lower variance alone is insufficient."
"Automated individual-output grades had weak concordance with human judgments.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirms readiness for immediate adoption and motivates independent expert validation."
"Automated individual-skill grades had weak concordance with human judgments.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Directly challenges the validity of skill-level automated scores and requires process-label validation."
"Observed skill-execution effects were directional and heterogeneous.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Precludes a stable causal adoption claim and motivates controlled, component-separated testing."
"One configured system had a large reported directional skill gain.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supports continued investigation, but not extrapolation or causal adoption."
"Only a minority of no-skill runs deployed in the small paired study.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Suggests a completion hypothesis while requiring controls for content, integration, and stochasticity."
"A pairwise win did not consistently meet the reported absolute expert-readiness threshold.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Requires an absolute readiness gate and multiple experts rather than relying on relative preference."
