claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric judges showed higher reported agreement than generic-rubric judges (0.60 versus 0.46), but the comparison does not isolate skill grounding or expert authorship.","E01","reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supports piloting a more reproducible scoring approach; does not support causal attribution or immediate adoption."
"Generic-rubric judges had lower reported agreement (0.46) in the same runs.","E02","reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Provides the comparator for the agreement signal while disconfirming a clean expert-authorship causal claim."
"Expert-rubric judge variance was reported as 0.10, lower than the generic-rubric value, but agreement is not validity.","E03","reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supports a reliability hypothesis for a pilot; cannot establish that scores are professionally correct."
"Generic-rubric judge variance was reported as 0.25, higher than the expert-rubric value.","E04","reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supplies the variance comparator; useful for a preregistered reliability endpoint, not a validity decision."
"Automated individual-output grades had weak human concordance (kappa 0.08).","E05","reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Disconfirms readiness for autonomous scoring and makes independent expert validation an adoption gate."
"Automated individual-skill grades had weak human concordance (kappa 0.06).","E06","reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Disconfirms demonstrated skill-level validity and requires blinded human process annotation in a pilot."
"The skill-execution ablation comprised only 7 paired runs over 3 tasks and produced directional, heterogeneous effects.","E07","reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Disconfirms a general causal adoption claim; motivates a larger randomized, blocked experiment."
"One configured Codex subset showed a reported aggregate skill delta of +0.87.","E08","reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supports testing possible upside, but the result is insufficient for adoption or generalization."
"Only 2 of 7 no-skill runs deployed, a directional completion signal that cannot identify its cause.","E09","reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Supports measuring completion in a controlled pilot while disconfirming attribution to procedure content alone."
"Only 60 percent of pairwise-winning outputs met the expert readiness threshold.","E10","reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Disconfirms treating relative wins as deployment readiness and requires an absolute, multi-expert readiness gate."
