claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric judges showed higher reported inter-judge agreement than generic-rubric judges.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","Supports testing skill-grounded scoring as a reliability intervention, but not immediate adoption."
"Generic-rubric judges had lower reported inter-judge agreement.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","Provides the comparison condition while limiting causal attribution."
"Expert-rubric judges showed lower reported judge variance.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Supports a reliability signal, not a validity conclusion."
"Generic-rubric judges showed higher reported judge variance.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","Provides disconfirmable comparative context and reinforces the validity boundary."
"Automated output grades had weak concordance with human judgments at the individual-run level.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","Argues against production adoption until human criterion validity is demonstrated."
"Automated skill grades had weak concordance with human judgments at the individual-run level.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","Requires independent process annotation in a controlled pilot."
"The skill-execution ablation was small and effects were heterogeneous.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","Precludes a stable causal adoption claim and motivates randomization and factor controls."
"One configured system showed a large directional skill gain.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","Supports equipoise for a pilot but not a rollout decision."
"Only a minority of no-skill runs deployed in the paired ablation.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","Motivates deployment as an outcome while requiring controls for integration and stochasticity."
"A majority of pairwise-winning outputs still did not necessarily establish universal professional readiness.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","Requires an absolute readiness gate with multiple experts before adoption."
