claim,evidence_id,authority,scope,caveat,decision_use
"Expert-rubric judges showed stronger reported inter-judge agreement than the generic-rubric comparison.",E01,"reviewed primary paper result","92 Figma runs reported in rubric comparison","Comparison changed author source rubric count grouping weights anchor language and observability together","supporting: indicates promise for scoring consistency; not causal isolation"
"Generic-rubric judges had lower reported inter-judge agreement.",E02,"reviewed primary paper result","Same 92 Figma runs","Does not isolate expert authorship as the cause","supporting comparator: establishes the reported consistency gap while limiting attribution"
"Expert-rubric judges showed lower reported judge variance.",E03,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","supporting: indicates consistency; disconfirming for any inference from consistency to validity"
"Generic-rubric judges showed higher reported judge variance.",E04,"reviewed primary paper result","Same 92 Figma runs","Agreement is not professional validity","supporting comparator: establishes the reported variance gap; does not establish validity"
"Automated fine-grained output grades weakly matched human judgments.",E05,"reviewed primary paper result","Figma individual runs","One Figma domain expert limits human-baseline generality","disconfirming: weak observed human concordance blocks immediate adoption"
"Automated fine-grained skill grades weakly matched human judgments.",E06,"reviewed primary paper result","Figma individual runs","No independent human process annotation validates the skill judges","disconfirming: skill-level validity is not established"
"Skill execution effects were directional and heterogeneous in a small ablation.",E07,"reviewed primary paper result","Claude Codex and Gemini harness/model systems","Sample is underpowered and harness/model/integration factors remain bundled","mixed: motivates a controlled pilot but cannot support a causal adoption claim"
"One configured system had a large reported directional gain with skills.",E08,"reviewed primary paper result","Subset of the 7 paired Figma runs","Too few runs for a stable causal adoption claim","supporting signal: candidate effect to replicate; disconfirming for immediate causal adoption"
"Some no-skill runs deployed, but the deployment difference is causally ambiguous.",E09,"reviewed primary paper result","Seven paired Figma runs","Deployment difference alone cannot separate procedure content from integration and stochasticity","mixed: operational signal requiring randomized controls and repeated runs"
"Pairwise preference did not imply expert-threshold readiness.",E10,"reviewed primary paper result","31 rated Figma tasks with one domain expert","Single-expert threshold is not a universal professional standard","disconfirming: relative wins are insufficient as an adoption gate"
